Parent-Group,TransactionCode,SourceCode,,,,
Child-Group,PaymentDate,Amount,OtherPartyAccountNumber,,,
Code-Finger-Print,,,,,,
Sign,-,,,,,
Analysis,largest-subset-test,z-score,,,,
,,,,,,
TransactionCode,SourceCode,PaymentDate,Amount,OtherPartyAccountNumber,count,z-score
0,DD,2015-01-05 00:00:00.0000000 +13:00,-12469.94,0xB3E625E58AD2BB7418916E1630505D61,1,-0.072115265
0,DD,2015-01-05 00:00:00.0000000 +13:00,-12469.94,0xB3E625E58AD2BB7418916E1630505D61,1,-0.072661153
0,FT,2015-01-13 00:00:00.0000000 +13:00,-15000,0xFB1ADB8E2AF1F55F97FB0C8B86AB8461,1,-0.086066297
0,FT,2015-01-19 00:00:00.0000000 +13:00,-5000,0xFB1ADB8E2AF1F55F97FB0C8B86AB8461,1,-0.086066297
0,MAN,2015-03-31 00:00:00.0000000 +13:00,-133612.75,0x0E78C5D089CF939E095C049AF6ECD44A,1,-0.333333333
0,MAN,2015-03-31 00:00:00.0000000 +13:00,-207805,0x0E78C5D089CF939E095C049AF6ECD44A,1,-0.333333333
15,AP,2015-01-05 00:00:00.0000000 +13:00,-17250,0x8A4E7CFCEE62E7BA9E49FC0AF829833A,1,-0.33635715
15,AP,2015-01-05 00:00:00.0000000 +13:00,-2395.83,0x2D820C36A6ACB4FCC2D48B3D928353A3,1,-0.33635715
